date,month,quarter,season,doy,global_lux,direct_lux,diffuse_lux,pressure,snow,temp,temp_max,temp_min,ts,dew_point,wind_speed,wind_direction,uv_index,albedo,optical_depth_55,optical_depth_84,clearness,precip,humidity_specific,humidity_relative,cloud_amt,cloud_depth,water
2012-09-18,Sep,3,Summer,262,30247.44,32044.87,18172.94,98.66,0,17.15,21.13,10.34,17.12,12.48,2.23,333.44,1.09,0.15,0.37,0.23,0.68,10.62,9.52,76.19,58.95,7.83,2.5
2012-09-19,Sep,3,Summer,263,51815.87,89440.91,6314.55,99.45,0,14.33,21.32,7.1,14.18,7.46,1.3,74.56,NA,0.14,0.04,0.02,0.76,0,6.53,66.06,0.17,NA,1.16
2012-09-20,Sep,3,Summer,264,49511.82,86189.72,8685.09,99.28,0,17.34,25.23,9.57,16.76,10.48,1.23,189,1.47,0.15,0.15,0.09,0.73,0.02,8.06,66.5,1.14,NA,1.56
2012-09-21,Sep,3,Summer,265,37619.32,28292.6,23054.92,99.04,0,18.7,25.18,11.73,18.56,13.05,1.69,206.94,1.23,0.12,0.43,0.28,0.66,0.01,9.52,71.81,29.85,3.39,2.36
2012-09-22,Sep,3,Summer,266,49242.88,88775.18,7658.55,99.2,0,18.73,25.53,10.64,18.65,11.58,1.73,239.5,1.54,0.16,0.16,0.11,0.74,0.01,8.73,66.62,3.3,NA,1.52
2012-09-23,Sep,3,Summer,267,50312.11,92731.62,6965.62,99.83,0,12.83,20.82,5.59,13.13,4.42,1.45,96.25,1.48,0.16,0.06,0.04,0.76,0.01,5.25,60.19,0.52,NA,0.92
2012-09-24,Sep,3,Summer,268,50124.35,90992.07,6537.3,99.74,0,13.87,21.81,4.87,14.35,6.03,1.09,109.38,1.44,0.16,0.1,0.06,0.76,0,5.92,63.5,3.11,NA,1.2
2012-09-25,Sep,3,Summer,269,29616.64,13885.4,21902.59,99.36,0,19.63,26.92,12.55,19.51,13.55,2.39,187,0.95,0.12,0.55,0.36,0.62,0.01,9.95,69.5,62.88,3.14,2.74
2012-09-26,Sep,3,Summer,270,38297.31,24539.34,25703.49,99.47,0,21.08,28.46,15.4,21.05,15.39,1.75,195.06,1.17,0.12,0.53,0.34,0.63,0.25,11.05,72.06,73.3,2.19,2.98
2012-09-27,Sep,3,Summer,271,33076.5,15417.9,25452.3,99.5,0,22.4,28.94,16.46,22.31,16.79,1.07,193.94,1.09,0.13,0.59,0.38,0.62,0.21,12.08,72.81,77.66,4.09,3.52
2012-09-28,Sep,3,Summer,272,21312.09,5975.08,17852.89,99.33,0,21.2,25.89,18.26,21.01,17.9,1.03,195.62,0.79,0.14,0.59,0.38,0.64,1.25,12.94,82.25,98.37,8.7,3.72
2012-09-29,Sep,3,Summer,273,42901.39,59278.51,16510.5,99.11,0,18.84,25.08,14.41,19.27,12.91,1.38,225.38,1.28,0.12,0.29,0.19,0.7,0.02,9.4,71.19,65.96,1.46,2.12
2012-09-30,Sep,3,Summer,274,29527.61,9679.71,23949.2,98.71,0,16.38,21.38,12.59,16.33,12.69,0.99,77.44,1.01,0.14,0.18,0.12,0.72,6.04,9.34,80.81,98.34,6.03,1.97
2012-10-01,Oct,4,Fall,275,13866.59,5399.64,11653.16,97.79,0,18.05,25.99,12.82,18.09,16.49,2.34,167.06,0.55,0.13,0.54,0.35,0.64,35.47,12.27,91.12,97.36,24.8,3.79
2012-10-02,Oct,4,Fall,276,14233.77,5095.98,11780.66,98.47,0,14.42,17.65,10.97,14.28,12.27,1.23,246.06,0.57,0.13,0.45,0.29,0.66,1.53,9.09,87.56,80.31,19.28,2.31
2012-10-03,Oct,4,Fall,277,44860.18,76595.78,13181.2,99.37,0,15.87,23.01,9.23,15.9,11.76,1.3,192.5,1.25,0.12,0.25,0.16,0.7,0,8.67,78.38,10.8,1.52,1.48
2012-10-04,Oct,4,Fall,278,43689.09,74543.35,14484.38,99.8,0,18.46,25.79,11.95,18.3,14.28,1.11,200.06,1.22,0.14,0.18,0.12,0.7,0,10.25,78.81,8.25,5.09,2.05
